id,hypothesis,change,validation,result,decision
E1,"The global confidence floor of 55 starves the thin markets of volume and the picks it removes are profitable","sweep confidence floor 0/50/55/60 x EV floor 0/.02/.04, side=both","SELECT half only, ROI and three chronological sub-block ROIs per market","at conf=55 the eleven SELECT boards hold 13,743 picks worth 421u; at conf=0 they hold 39,605 worth 1,003u -- the 25,862 marginal picks return +2.25%. batter_hits alone goes from 894 picks at 6.17% to 11,677 at 4.83% with all three sub-blocks positive","CONFIRMED the diagnosis; the confidence floor is a display convention, the EV floor is the statistical filter"
E2,"The three game markets are handicapped by being scored through ev_pass (no EV filter) because production's game write path carries no evPerUnit","score totals/h2h/spreads through ev_filtered as well","SELECT half, sub-block stability","h2h: ev_pass conf55 gives n=739 ROI 0.38% with 1 of 3 sub-blocks positive; ev_filtered conf0 tau.02 gives n=1,131 ROI 2.46% with 3 of 3 (blocks 1.5/2.6/3.3). spreads: ev_pass conf55 1.62% 1-of-3; ev_filtered conf50 2.90% 3-of-3. totals: no setting is stable","ADOPTED for all markets; the shipped-parity board is still reported in its own column"
E3,"Per-market selection of (conf, EV floor, side, collapse) beats one global filter","choose per market on SELECT-A, score on the held-out SELECT-B tail","nested split inside the SELECT half","more units (462 vs 274) but fewer markets in profit (8/11 vs 9/11) and three markets left with no board at all","REJECTED -- the extra knobs buy volume by losing markets"
E4,"Per-market side selection by SELECT units is worth its knob","rule with vs without the side lever, identical otherwise","nested split, SELECT-A choose / SELECT-B score","adding the unguarded side lever took held-out markets-in-profit from 9/11 to 8/11 (pitcher_strikeouts flipped to under and returned -14.6%)","REJECTED as written; kept only behind a 25% robust-units margin, at which it rarely fires"
E5,"Choosing the global filter on raw SELECT units beats choosing it on profit at the worst sub-period","objective = sum of units vs sum of n x worst-sub-block ROI","nested split, three inner cuts","raw units 23/33 market-splits in profit; robust units 26/33","REJECTED raw units; ADOPTED robust units"
E6,"The old objective -- counting markets that clear the gate on their SELECT halves -- is the thing to keep","compare against robust units on the same nested test","nested split, three inner cuts","baseline 27/33 market-splits in profit on 14,083 held-out picks; robust-units rule 26/33 on 29,059 picks worth 1,022u vs 663u","ADOPTED robust units -- same hit rate, twice the volume, and no n>=500 cliff in the objective"
E7,"A walk-forward Platt rescale of every member fixes the over-dispersion that manufactures fake EV","fit logit(p)->y on earlier folds only, apply forward, for all 8 members x 11 markets","SELECT-half log loss","the rescaled member has HIGHER log loss than the raw member in 10 of 11 markets; the walk-forward members are already near slope 1 inside the SELECT half","REJECTED"
E8,"Per-market ensemble selection by out-of-sample log loss beats one global spec","choose each market's spec by SELECT log loss over 10 candidates","nested split, three inner cuts","25/33 held-out market-splits in profit vs 26/33 for the single global spec","REJECTED -- log loss differences between specs are 0.0005-0.002, inside the noise"
E9,"A curved recalibration of the price (logit, logit^2, |logit|) beats the linear one the `price` member fits","new members priceflex / priceshop, walk-forward, price columns only","SELECT-half log loss and the nested split","best member on spreads (skill .0560 vs .0548) and h2h (.0238 vs .0228); no better on the other nine","ADDED to the global member pool; the pooled search decides whether to use them"
E10,"An entry-price cap would cut adverse selection on longshots","ROI by price bucket, SELECT half, wide board","SELECT half","no consistent pattern: the buckets that lose differ by market and the extreme buckets hold 1-6 picks","REJECTED -- no robust rule to draw"
